Federal Mediation and Conciliation Service,2025,Contract,1587916.28,1587916.28,1.000000
Federal Mine Safety and Health Review Commission,2025,Contract,-862956.09,-862956.09,1.000000
Federal Trade Commission,2025,Contract,93093005.65,93093005.65,1.000000
General Services Administration,2025,Contract,24853750452.34,24853750452.34,1.000000
Government Accountability Office,2025,Contract,117385587.27,117385587.27,1.000000
Gulf Coast Ecosystem Restoration Council,2025,Assistance,174511701.02,174511701.02,1.000000
Institute of Museum and Library Services,2025,Assistance,245539680.48,257406171.11,0.953899
Institute of Museum and Library Services,2025,Contract,11866490.63,257406171.11,0.046100
International Trade Commission,2025,Contract,17764892.68,17764892.68,1.000000
Merit Systems Protection Board,2025,Contract,3201752.74,3201752.74,1.000000
Millennium Challenge Corporation,2025,Assistance,250952618.91,291350047.45,0.861344
Millennium Challenge Corporation,2025,Contract,40397428.54,291350047.45,0.138655
Morris K. Udall and Stewart L. Udall Foundation,2025,Contract,311296.72,311296.72,1.000000
National Aeronautics and Space Administration,2025,Assistance,1522713923.60,22788098478.74,0.066820
National Aeronautics and Space Administration,2025,Contract,21265384555.14,22788098478.74,0.933179
National Archives and Records Administration,2025,Assistance,1738523.80,209418406.04,0.008301
National Archives and Records Administration,2025,Contract,207679882.24,209418406.04,0.991698
National Credit Union Administration,2025,Assistance,438607.98,438607.98,1.000000
National Endowment for the Arts,2025,Assistance,116320336.16,120132416.15,0.968267
National Endowment for the Arts,2025,Contract,3812079.99,120132416.15,0.031732
National Endowment for the Humanities,2025,Assistance,70985832.71,72930265.65,0.973338
National Endowment for the Humanities,2025,Contract,1944432.94,72930265.65,0.026661
National Labor Relations Board,2025,Contract,25930486.76,25930486.76,1.000000
National Science Foundation,2025,Assistance,8177404879.00,8888452922.58,0.920003
National Science Foundation,2025,Contract,711048043.58,8888452922.58,0.079996
National Transportation Safety Board,2025,Contract,29684092.31,29684092.31,1.000000
Nuclear Regulatory Commission,2025,Assistance,1257794.46,184665371.87,0.006811
Nuclear Regulatory Commission,2025,Contract,183407577.41,184665371.87,0.993188
Occupational Safety and Health Review Commission,2025,Contract,1556962.33,1556962.33,1.000000
Office of Personnel Management,2025,Contract,198250775.13,198250775.13,1.000000
Peace Corps,2025,Contract,69087764.13,69087764.13,1.000000
Pension Benefit Guaranty Corporation,2025,Assistance,6322223059.34,6613849719.55,0.955906
Pension Benefit Guaranty Corporation,2025,Contract,291626660.21,6613849719.55,0.044093
Railroad Retirement Board,2025,Assistance,14511445136.77,14554451293.67,0.997045
Railroad Retirement Board,2025,Contract,43006156.90,14554451293.67,0.002954
Securities and Exchange Commission,2025,Contract,498159347.29,498159347.29,1.000000
Selective Service System,2025,Contract,4415190.26,4415190.26,1.000000
Small Business Administration,2025,Assistance,884667137.04,995528006.52,0.888641
Small Business Administration,2025,Contract,110860869.48,995528006.52,0.111358
Social Security Administration,2025,Assistance,1632976041955.64,1634789112222.02,0.998890
Social Security Administration,2025,Contract,1813070266.38,1634789112222.02,0.001109
U.S. Agency for Global Media,2025,Assistance,296535796.00,367901542.69,0.806019
U.S. Agency for Global Media,2025,Contract,71365746.69,367901542.69,0.193980
U.S. International Development Finance Corporation,2025,Assistance,-1586200302.43,-1498818741.94,1.058300
U.S. International Development Finance Corporation,2025,Contract,87381560.49,-1498818741.94,-0.058300
United States Chemical Safety Board,2025,Contract,1648617.80,1648617.80,1.000000
United States Trade and Development Agency,2025,Contract,14868872.02,14868872.02,1.000000
Administrative Conference of the U.S.,2024,Contract,102420.00,102420.00,1.000000
Agency for International Development,2024,Assistance,22802700539.00,30282311266.51,0.753003
Agency for International Development,2024,Contract,7479610727.51,30282311266.51,0.246996
Appalachian Regional Commission,2024,Assistance,278562579.00,278562579.00,1.000000
Committee for Purchase from People Who Are Blind or Severely Disabled,2024,Contract,2221076.80,2221076.80,1.000000
Commodity Futures Trading Commission,2024,Contract,89630205.84,89630205.84,1.000000
Consumer Financial Protection Bureau,2024,Contract,188348630.21,188348630.21,1.000000
Consumer Product Safety Commission,2024,Assistance,5549339.12,40848944.85,0.135850
Consumer Product Safety Commission,2024,Contract,35299605.73,40848944.85,0.864149
Corporation for National and Community Service,2024,Assistance,733624811.32,831182097.03,0.882628
Corporation for National and Community Service,2024,Contract,97557285.71,831182097.03,0.117371
Council of the Inspectors General on Integrity and Efficiency,2024,Contract,2175915.83,2175915.83,1.000000
Court Services and Offender Supervision Agency,2024,Contract,38947370.06,38947370.06,1.000000
Defense Nuclear Facilities Safety Board,2024,Contract,4504541.88,4504541.88,1.000000
Delta Regional Authority,2024,Assistance,67416028.16,67416028.16,1.000000
Denali Commission,2024,Assistance,60277353.55,60277353.55,1.000000
Department of Agriculture,2024,Assistance,161303594642.20,172920532655.47,0.932819
Department of Agriculture,2024,Contract,11616938013.27,172920532655.47,0.067180
Department of Commerce,2024,Assistance,29586229858.34,34778660751.35,0.850700
Department of Commerce,2024,Contract,5192430893.01,34778660751.35,0.149299
Department of Defense,2024,Assistance,10759021944.80,456647826292.23,0.023560
Department of Defense,2024,Contract,445888804347.43,456647826292.23,0.976439
Department of Education,2024,Assistance,89571399771.31,92296635706.45,0.970473
Department of Education,2024,Contract,2725235935.14,92296635706.45,0.029526
Department of Energy,2024,Assistance,16838353333.93,64509454256.37,0.261021
Department of Energy,2024,Contract,47671100922.44,64509454256.37,0.738978
Department of Health and Human Services,2024,Assistance,1817942582560.43,1854702581688.25,0.980180
Department of Health and Human Services,2024,Contract,36759999127.82,1854702581688.25,0.019819
Department of Homeland Security,2024,Assistance,38564641821.60,62204630541.20,0.619964
Department of Homeland Security,2024,Contract,23639988719.60,62204630541.20,0.380035
Department of Housing and Urban Development,2024,Assistance,73135549801.49,74658115989.27,0.979606
Department of Housing and Urban Development,2024,Contract,1522566187.78,74658115989.27,0.020393
Department of Justice,2024,Assistance,4722213020.90,14297146099.53,0.330290
Department of Justice,2024,Contract,9574933078.63,14297146099.53,0.669709
Department of Labor,2024,Assistance,8419586360.48,10610423928.53,0.793520
Department of Labor,2024,Contract,2190837568.05,10610423928.53,0.206479
Department of State,2024,Assistance,11758502861.04,23626704704.08,0.497678
Department of State,2024,Contract,11868201843.04,23626704704.08,0.502321
Department of the Interior,2024,Assistance,12428584883.10,20559743317.11,0.604510
Department of the Interior,2024,Contract,8131158434.01,20559743317.11,0.395489
Department of the Treasury,2024,Assistance,516827610.56,9808006083.20,0.052694
Department of the Treasury,2024,Contract,9291178472.64,9808006083.20,0.947305
Department of Transportation,2024,Assistance,110052339365.32,119336599701.79,0.922201
Department of Transportation,2024,Contract,9284260336.47,119336599701.79,0.077798
Department of Veterans Affairs,2024,Assistance,171494405249.48,238396266836.59,0.719366
Department of Veterans Affairs,2024,Contract,66901861587.11,238396266836.59,0.280633
District of Columbia Courts,2024,Contract,101377863.20,101377863.20,1.000000
Election Assistance Commission,2024,Assistance,58038933.00,58038933.00,1.000000
Environmental Protection Agency,2024,Assistance,44477453461.07,46696409931.77,0.952481
Environmental Protection Agency,2024,Contract,2218956470.70,46696409931.77,0.047518
Equal Employment Opportunity Commission,2024,Contract,51784825.72,51784825.72,1.000000
Executive Office of the President,2024,Assistance,312204747.11,374682821.78,0.833250
Executive Office of the President,2024,Contract,62478074.67,374682821.78,0.166749
Export-Import Bank of the United States,2024,Assistance,-249539000.37,-207288638.35,1.203823
Export-Import Bank of the United States,2024,Contract,42250362.02,-207288638.35,-0.203823
Federal Communications Commission,2024,Assistance,15508888123.61,15667730051.22,0.989861
Federal Communications Commission,2024,Contract,158841927.61,15667730051.22,0.010138
Federal Election Commission,2024,Contract,16251645.79,16251645.79,1.000000
Federal Labor Relations Authority,2024,Contract,1480851.66,1480851.66,1.000000
Federal Maritime Commission,2024,Contract,6547801.39,6547801.39,1.000000
Federal Mediation and Conciliation Service,2024,Contract,8113545.54,8113545.54,1.000000
Federal Mine Safety and Health Review Commission,2024,Contract,-716409.49,-716409.49,1.000000
Federal Trade Commission,2024,Contract,105646844.58,105646844.58,1.000000
General Services Administration,2024,Contract,26951774397.29,26951774397.29,1.000000
Government Accountability Office,2024,Contract,126045976.91,126045976.91,1.000000
Gulf Coast Ecosystem Restoration Council,2024,Assistance,234270713.51,234270713.51,1.000000
Institute of Museum and Library Services,2024,Assistance,270483070.84,279998069.91,0.966017
Institute of Museum and Library Services,2024,Contract,9514999.07,279998069.91,0.033982
Inter-American Foundation,2024,Assistance,24858183.00,24858183.00,1.000000
International Trade Commission,2024,Contract,16332508.57,16332508.57,1.000000
John F. Kennedy Center for the Performing Arts,2024,Contract,7462114.87,7462114.87,1.000000
Merit Systems Protection Board,2024,Contract,4560383.19,4560383.19,1.000000
Millennium Challenge Corporation,2024,Assistance,1517008539.53,1621536801.87,0.935537
Millennium Challenge Corporation,2024,Contract,104528262.34,1621536801.87,0.064462
Morris K. Udall and Stewart L. Udall Foundation,2024,Contract,1939583.56,1939583.56,1.000000
National Aeronautics and Space Administration,2024,Assistance,1297664181.13,21352191537.19,0.060774
National Aeronautics and Space Administration,2024,Contract,20054527356.06,21352191537.19,0.939225
National Archives and Records Administration,2024,Assistance,44057904.55,267057014.57,0.164975
National Archives and Records Administration,2024,Contract,222999110.02,267057014.57,0.835024
National Credit Union Administration,2024,Assistance,3271737.88,3271737.88,1.000000
National Endowment for the Arts,2024,Assistance,159067429.95,164522012.53,0.966845
National Endowment for the Arts,2024,Contract,5454582.58,164522012.53,0.033154
National Endowment for the Humanities,2024,Assistance,164580864.09,166315027.20,0.989573
National Endowment for the Humanities,2024,Contract,1734163.11,166315027.20,0.010426
National Labor Relations Board,2024,Contract,25714994.04,25714994.04,1.000000
National Science Foundation,2024,Assistance,8086481707.00,8862143809.55,0.912474
National Science Foundation,2024,Contract,775662102.55,8862143809.55,0.087525
National Transportation Safety Board,2024,Contract,22449913.19,22449913.19,1.000000
Nuclear Regulatory Commission,2024,Assistance,23188696.11,216112501.39,0.107299
Nuclear Regulatory Commission,2024,Contract,192923805.28,216112501.39,0.892700
Occupational Safety and Health Review Commission,2024,Contract,1859174.11,1859174.11,1.000000
Office of Personnel Management,2024,Contract,537335615.43,537335615.43,1.000000
Peace Corps,2024,Contract,100066373.50,100066373.50,1.000000
Pension Benefit Guaranty Corporation,2024,Assistance,14681409803.10,14990755683.12,0.979364
Pension Benefit Guaranty Corporation,2024,Contract,309345880.02,14990755683.12,0.020635
Railroad Retirement Board,2024,Assistance,14359394127.72,14395022759.38,0.997524
Railroad Retirement Board,2024,Contract,35628631.66,14395022759.38,0.002475
Securities and Exchange Commission,2024,Contract,552414097.25,552414097.25,1.000000
Selective Service System,2024,Contract,1549944.94,1549944.94,1.000000
Small Business Administration,2024,Assistance,661441753.84,997540608.79,0.663072
Small Business Administration,2024,Contract,336098854.95,997540608.79,0.336927
Social Security Administration,2024,Assistance,1505170213851.28,1507122505629.61,0.998704
Social Security Administration,2024,Contract,1952291778.33,1507122505629.61,0.001295
U.S. Agency for Global Media,2024,Assistance,365936713.00,492314863.40,0.743298
U.S. Agency for Global Media,2024,Contract,126378150.40,492314863.40,0.256701
U.S. International Development Finance Corporation,2024,Assistance,1764266540.60,1867889557.80,0.944524
U.S. International Development Finance Corporation,2024,Contract,103623017.20,1867889557.80,0.055475
United States Chemical Safety Board,2024,Contract,2003880.64,2003880.64,1.000000
United States Trade and Development Agency,2024,Contract,20399569.52,20399569.52,1.000000
Administrative Conference of the U.S.,2023,Contract,93328.00,93328.00,1.000000
Agency for International Development,2023,Assistance,31128662350.71,37951366031.05,0.820225
Agency for International Development,2023,Contract,6822703680.34,37951366031.05,0.179774
Appalachian Regional Commission,2023,Assistance,273750854.00,273750854.00,1.000000
Committee for Purchase from People Who Are Blind or Severely Disabled,2023,Contract,4079143.84,4079143.84,1.000000
Commodity Futures Trading Commission,2023,Contract,87486611.11,87486611.11,1.000000
Consumer Financial Protection Bureau,2023,Contract,148632405.37,148632405.37,1.000000
Consumer Product Safety Commission,2023,Assistance,3148319.50,55241751.65,0.056991
Consumer Product Safety Commission,2023,Contract,52093432.15,55241751.65,0.943008
Corporation for National and Community Service,2023,Assistance,991175291.88,1053090521.34,0.941206
Corporation for National and Community Service,2023,Contract,61915229.46,1053090521.34,0.058793
Council of the Inspectors General on Integrity and Efficiency,2023,Contract,2820852.78,2820852.78,1.000000
Court Services and Offender Supervision Agency,2023,Contract,29428732.95,29428732.95,1.000000
Defense Nuclear Facilities Safety Board,2023,Contract,6839830.25,6839830.25,1.000000
Delta Regional Authority,2023,Assistance,18372329.46,18372329.46,1.000000
Denali Commission,2023,Assistance,46873887.20,46873887.20,1.000000
Department of Agriculture,2023,Assistance,196519751231.90,208040051796.49,0.944624
Department of Agriculture,2023,Contract,11520300564.59,208040051796.49,0.055375
Department of Commerce,2023,Assistance,5707879803.05,10735496386.01,0.531682
Department of Commerce,2023,Contract,5027616582.96,10735496386.01,0.468317
Department of Defense,2023,Assistance,10308981499.00,467410932142.57,0.022055
Department of Defense,2023,Contract,457101950643.57,467410932142.57,0.977944
Department of Education,2023,Assistance,84306746535.72,86752745248.55,0.971804
Department of Education,2023,Contract,2445998712.83,86752745248.55,0.028195
Department of Energy,2023,Assistance,9708436009.74,55982786665.87,0.173418
Department of Energy,2023,Contract,46274350656.13,55982786665.87,0.826581
Department of Health and Human Services,2023,Assistance,1784404869980.20,1822906684718.28,0.978878
Department of Health and Human Services,2023,Contract,38501814738.08,1822906684718.28,0.021121
Department of Homeland Security,2023,Assistance,37288212908.48,61352990720.03,0.607765
Department of Homeland Security,2023,Contract,24064777811.55,61352990720.03,0.392234
Department of Housing and Urban Development,2023,Assistance,72382053665.66,72815356140.88,0.994049
Department of Housing and Urban Development,2023,Contract,433302475.22,72815356140.88,0.005950
Department of Justice,2023,Assistance,5696348452.33,16021998597.88,0.355532
Department of Justice,2023,Contract,10325650145.55,16021998597.88,0.644467
Department of Labor,2023,Assistance,9222797235.71,11701602865.15,0.788165
Department of Labor,2023,Contract,2478805629.44,11701602865.15,0.211834
Department of State,2023,Assistance,11987324543.83,23857756183.98,0.502449
Department of State,2023,Contract,11870431640.15,23857756183.98,0.497550
Department of the Interior,2023,Assistance,10849306483.99,18502021130.16,0.586384
Department of the Interior,2023,Contract,7652714646.17,18502021130.16,0.413615
Department of the Treasury,2023,Assistance,2814354917.07,13083927244.06,0.215100
Department of the Treasury,2023,Contract,10269572326.99,13083927244.06,0.784899
Department of Transportation,2023,Assistance,102786511306.22,112243173715.43,0.915748
Department of Transportation,2023,Contract,9456662409.21,112243173715.43,0.084251
Department of Veterans Affairs,2023,Assistance,195185283821.90,256886847487.92,0.759810
Department of Veterans Affairs,2023,Contract,61701563666.02,256886847487.92,0.240189
District of Columbia Courts,2023,Contract,36852556.33,36852556.33,1.000000
Election Assistance Commission,2023,Assistance,61471927.76,61471927.76,1.000000
Environmental Protection Agency,2023,Assistance,13770017596.75,15649392136.20,0.879907
Environmental Protection Agency,2023,Contract,1879374539.45,15649392136.20,0.120092
Equal Employment Opportunity Commission,2023,Contract,63631516.23,63631516.23,1.000000
Executive Office of the President,2023,Assistance,303345720.86,380576644.40,0.797068
Executive Office of the President,2023,Contract,77230923.54,380576644.40,0.202931
Export-Import Bank of the United States,2023,Assistance,-293957201.46,-244788750.41,1.200860
Export-Import Bank of the United States,2023,Contract,49168451.05,-244788750.41,-0.200860
Federal Communications Commission,2023,Assistance,12912079123.37,13285236325.92,0.971911
Federal Communications Commission,2023,Contract,373157202.55,13285236325.92,0.028088
Federal Election Commission,2023,Contract,17511776.98,17511776.98,1.000000
Federal Labor Relations Authority,2023,Contract,2518056.56,2518056.56,1.000000
Federal Maritime Commission,2023,Contract,4421830.08,4421830.08,1.000000
Federal Mediation and Conciliation Service,2023,Contract,7930453.83,7930453.83,1.000000
Federal Mine Safety and Health Review Commission,2023,Contract,804577.43,804577.43,1.000000
Federal Trade Commission,2023,Contract,112541952.24,112541952.24,1.000000
General Services Administration,2023,Contract,24429785249.20,24429785249.20,1.000000
Government Accountability Office,2023,Contract,131976560.00,131976560.00,1.000000
Gulf Coast Ecosystem Restoration Council,2023,Assistance,219188513.06,219188513.06,1.000000
Institute of Museum and Library Services,2023,Assistance,267881450.95,280600911.54,0.954670
Institute of Museum and Library Services,2023,Contract,12719460.59,280600911.54,0.045329
Inter-American Foundation,2023,Assistance,30518872.00,30518872.00,1.000000
International Trade Commission,2023,Contract,15699155.75,15699155.75,1.000000
John F. Kennedy Center for the Performing Arts,2023,Contract,8661193.45,8661193.45,1.000000
Merit Systems Protection Board,2023,Contract,4934015.12,4934015.12,1.000000
Millennium Challenge Corporation,2023,Assistance,579356209.05,670266064.54,0.864367
Millennium Challenge Corporation,2023,Contract,90909855.49,670266064.54,0.135632
Morris K. Udall and Stewart L. Udall Foundation,2023,Contract,1772271.78,1772271.78,1.000000
National Aeronautics and Space Administration,2023,Assistance,1272858261.37,22216566652.62,0.057293
National Aeronautics and Space Administration,2023,Contract,20943708391.25,22216566652.62,0.942706
National Archives and Records Administration,2023,Assistance,32244920.71,274489067.46,0.117472
National Archives and Records Administration,2023,Contract,242244146.75,274489067.46,0.882527
National Credit Union Administration,2023,Assistance,2720800.63,2720800.63,1.000000
National Endowment for the Arts,2023,Assistance,157334333.52,162242963.53,0.969745
National Endowment for the Arts,2023,Contract,4908630.01,162242963.53,0.030254
National Endowment for the Humanities,2023,Assistance,167106667.13,167763911.48,0.996082
National Endowment for the Humanities,2023,Contract,657244.35,167763911.48,0.003917
National Labor Relations Board,2023,Contract,30688482.68,30688482.68,1.000000
National Science Foundation,2023,Assistance,8425401879.00,9056527297.11,0.930312
National Science Foundation,2023,Contract,631125418.11,9056527297.11,0.069687
National Transportation Safety Board,2023,Contract,17936908.52,17936908.52,1.000000
Nuclear Regulatory Commission,2023,Assistance,16098893.00,199387293.22,0.080741
Nuclear Regulatory Commission,2023,Contract,183288400.22,199387293.22,0.919258
Occupational Safety and Health Review Commission,2023,Contract,1791615.14,1791615.14,1.000000
Office of Personnel Management,2023,Contract,496399357.90,496399357.90,1.000000
Peace Corps,2023,Contract,126856322.16,126856322.16,1.000000
Pension Benefit Guaranty Corporation,2023,Assistance,46081438158.21,46425650389.27,0.992585
Pension Benefit Guaranty Corporation,2023,Contract,344212231.06,46425650389.27,0.007414
Railroad Retirement Board,2023,Assistance,14094087893.68,14159549042.75,0.995376
Railroad Retirement Board,2023,Contract,65461149.07,14159549042.75,0.004623
Securities and Exchange Commission,2023,Contract,701799736.64,701799736.64,1.000000
Selective Service System,2023,Contract,6819393.47,6819393.47,1.000000
Small Business Administration,2023,Assistance,-791997559.96,-409545664.29,1.933844
Small Business Administration,2023,Contract,382451895.67,-409545664.29,-0.933844
Social Security Administration,2023,Assistance,1401684764214.15,1403708598662.08,0.998558
Social Security Administration,2023,Contract,2023834447.93,1403708598662.08,0.001441
U.S. Agency for Global Media,2023,Assistance,369669003.00,511029726.51,0.723380
U.S. Agency for Global Media,2023,Contract,141360723.51,511029726.51,0.276619
U.S. International Development Finance Corporation,2023,Assistance,1287201391.85,1365654670.49,0.942552
U.S. International Development Finance Corporation,2023,Contract,78453278.64,1365654670.49,0.057447
United States Chemical Safety Board,2023,Contract,2423077.79,2423077.79,1.000000
United States Trade and Development Agency,2023,Contract,24575192.19,24575192.19,1.000000
Administrative Conference of the U.S.,2022,Contract,154770.79,154770.79,1.000000
Agency for International Development,2022,Assistance,30149077812.00,36115623562.45,0.834793
Agency for International Development,2022,Contract,5966545750.45,36115623562.45,0.165206
Appalachian Regional Commission,2022,Assistance,194780162.00,194780162.00,1.000000
Committee for Purchase from People Who Are Blind or Severely Disabled,2022,Contract,2065656.60,2065656.60,1.000000
Commodity Futures Trading Commission,2022,Contract,82606078.10,82606078.10,1.000000
Consumer Financial Protection Bureau,2022,Contract,125043371.85,125043371.85,1.000000
Consumer Product Safety Commission,2022,Assistance,1099348.30,48941794.52,0.022462
Consumer Product Safety Commission,2022,Contract,47842446.22,48941794.52,0.977537
Corporation for National and Community Service,2022,Assistance,919296972.47,943737040.80,0.974102
Corporation for National and Community Service,2022,Contract,24440068.33,943737040.80,0.025897
Council of the Inspectors General on Integrity and Efficiency,2022,Contract,2962486.14,2962486.14,1.000000
Court Services and Offender Supervision Agency,2022,Contract,47336503.54,47336503.54,1.000000
Defense Nuclear Facilities Safety Board,2022,Contract,7481001.09,7481001.09,1.000000
Delta Regional Authority,2022,Assistance,35626858.00,35626858.00,1.000000
Denali Commission,2022,Assistance,20913481.39,20913481.39,1.000000
Department of Agriculture,2022,Assistance,224676196759.36,234754156456.38,0.957070
Department of Agriculture,2022,Contract,10077959697.02,234754156456.38,0.042929
Department of Commerce,2022,Assistance,6840817466.30,10927472263.99,0.626020
Department of Commerce,2022,Contract,4086654797.69,10927472263.99,0.373979
Department of Defense,2022,Assistance,10122728726.36,424498507092.94,0.023846
Department of Defense,2022,Contract,414375778366.58,424498507092.94,0.976153
Department of Education,2022,Assistance,96528460012.59,98975401807.89,0.975277
Department of Education,2022,Contract,2446941795.30,98975401807.89,0.024722
Department of Energy,2022,Assistance,4643553435.54,47541408894.28,0.097673
Department of Energy,2022,Contract,42897855458.74,47541408894.28,0.902326
Department of Health and Human Services,2022,Assistance,1688615001187.15,1727503266223.61,0.977488
Department of Health and Human Services,2022,Contract,38888265036.46,1727503266223.61,0.022511
Department of Homeland Security,2022,Assistance,40978703061.33,62155351740.67,0.659294
Department of Homeland Security,2022,Contract,21176648679.34,62155351740.67,0.340705
Department of Housing and Urban Development,2022,Assistance,54088786982.52,54856934449.35,0.985997
Department of Housing and Urban Development,2022,Contract,768147466.83,54856934449.35,0.014002
Department of Justice,2022,Assistance,6315071514.09,15478161407.13,0.407998
Department of Justice,2022,Contract,9163089893.04,15478161407.13,0.592001
Department of Labor,2022,Assistance,9408337299.50,11586139063.59,0.812033
Department of Labor,2022,Contract,2177801764.09,11586139063.59,0.187966
Department of State,2022,Assistance,11335756334.08,23302354608.96,0.486463
Department of State,2022,Contract,11966598274.88,23302354608.96,0.513536
Department of the Interior,2022,Assistance,8161207934.56,14689183961.86,0.555593
Department of the Interior,2022,Contract,6527976027.30,14689183961.86,0.444406
Department of the Treasury,2022,Assistance,20752017716.03,30058488931.39,0.690387
Department of the Treasury,2022,Contract,9306471215.36,30058488931.39,0.309612
Department of Transportation,2022,Assistance,120666497002.97,129346583885.38,0.932892
Department of Transportation,2022,Contract,8680086882.41,129346583885.38,0.067107
Department of Veterans Affairs,2022,Assistance,234327184000.10,290716348865.39,0.806033
Department of Veterans Affairs,2022,Contract,56389164865.29,290716348865.39,0.193966
District of Columbia Courts,2022,Contract,40421520.20,40421520.20,1.000000
Election Assistance Commission,2022,Assistance,54711531.66,54711531.66,1.000000
Environmental Protection Agency,2022,Assistance,7910380187.87,9497353316.30,0.832903
Environmental Protection Agency,2022,Contract,1586973128.43,9497353316.30,0.167096
Equal Employment Opportunity Commission,2022,Contract,62516300.80,62516300.80,1.000000
Executive Office of the President,2022,Assistance,273336352.23,329285578.08,0.830089
Executive Office of the President,2022,Contract,55949225.85,329285578.08,0.169910
Export-Import Bank of the United States,2022,Assistance,-41728643.89,6743775.18,-6.187727
Export-Import Bank of the United States,2022,Contract,48472419.07,6743775.18,7.187727
Federal Communications Commission,2022,Assistance,20756630846.81,20993728664.67,0.988706
Federal Communications Commission,2022,Contract,237097817.86,20993728664.67,0.011293
